tier	file	line	kind	name	attrs	boneyard_refs	orphan_module
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	117	theorem	forward_star_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	123	theorem	forward_star_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	140	theorem	starDerivable_ofFormula_iff_base		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	146	theorem	starDerivable_ofFormula_iff_dense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	152	theorem	starDerivable_ofFormula_iff_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	158	theorem	starDerivable_ofFormula_iff_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/StarSoundness.lean	137	theorem	star_soundness_dense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/StarSoundness.lean	142	theorem	star_soundness_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/StarSoundness.lean	147	theorem	star_soundness_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Core/DeductionTheorem.lean	129	theorem	cons_removeAll_perm		0	
SURVIVOR	FormalSystem/Metalogic/Core/MaximalConsistent.lean	115	theorem	base_mem_consistent_extensions		0	
SURVIVOR	FormalSystem/Metalogic/Core/MaximalConsistent.lean	128	theorem	consistent_implies_set_consistent		0	
SURVIVOR	FormalSystem/Metalogic/Core/MaximalConsistent.lean	208	theorem	derivation_uses_finite_context		0	
SURVIVOR	FormalSystem/Metalogic/Core/MaximalConsistent.lean	387	theorem	SetMaximalConsistent.finite_subset_consistent		0	
SURVIVOR	FormalSystem/Metalogic/Core/MaximalConsistent.lean	435	theorem	maximal_negation_complete		0	
SURVIVOR	FormalSystem/Metalogic/Core/RestrictedMCS/Basic.lean	91	theorem	restricted_consistent_is_restricted		0	
SURVIVOR	FormalSystem/Metalogic/Core/RestrictedMCS/Basic.lean	98	theorem	restricted_consistent_is_consistent		0	
SURVIVOR	FormalSystem/Metalogic/Core/RestrictedMCS/Basic.lean	105	theorem	restricted_mcs_is_restricted_consistent		0	
