name	category	kind	module
FormalSystem.Metalogic.Bundle.is_modally_saturated	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.dne_theorem	data	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.dni_theorem	data	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.box_dne_theorem	data	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.modal_5_collapse_theorem	data	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.axiom_5_negative_introspection	data	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.neg_box_to_box_neg_box	data	def	FormalSystem.Metalogic.Bundle.ModalSaturation
FormalSystem.Metalogic.Bundle.G_dne_theorem	data	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.H_dne_theorem	data	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.temporally_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.restricted_temporally_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.until_since_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.backward_until_since_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.forward_until_since_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.restricted_forward_until_since_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.BFMCS.restricted_backward_until_since_coherent	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalCoherence
FormalSystem.Metalogic.Bundle.g_content	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.TemporalContent
