old_name	target_final	full_target	category	module	usages	source
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_3var_bracket_tyx	nf3varBracketTyx	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3varBracketTyx	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_3var_bracket_xyt	nf3varBracketXyt	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3varBracketXyt	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_3var_zone_txy	nf3varZoneTxy	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3varZoneTxy	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_3var_zone_xty	nf3varZoneXty	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3varZoneXty	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_3var_zone_ytx	nf3varZoneYtx	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3varZoneYtx	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_3var_zone_yxt	nf3varZoneYxt	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3varZoneYxt	data	FormalSystem.Metalogic.WeakCanonical.Kamp.VecEADecomp	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_atom_offdiag_endpoint	nfChar2AtomOffdiagEndpoint	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2AtomOffdiagEndpoint	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	15	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_atom_offdiag_origin	nfChar2AtomOffdiagOrigin	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2AtomOffdiagOrigin	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	8	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_atom_offdiag_origin_future	nfChar2AtomOffdiagOriginFuture	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2AtomOffdiagOriginFuture	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	7	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_char2_atom_part	nfChar2AtomPart	FormalSystem.Metalogic.WeakCanonical.Kamp.nfChar2AtomPart	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	6	flagged
